Root,Wordlength,Frequency,PercentileFrequency
rhododendron,12,89,4.076086957
encylcopedia,12,81,3.804347826
hippopotamus,12,28,2.173913043
frankincense,12,12,0.543478261
catastrophe,11,126,4.347826087
marshmallow,11,77,3.532608696
abracadabra,11,73,3.260869565
caterpillar,11,57,2.989130435
clandestine,11,45,2.717391304
sagittarius,11,14,0.815217391
experience,10,297837,91.0326087
understand,10,24605,36.14130435
restaurant,10,13719,30.43478261
discipline,10,13680,30.16304348
ingredient,10,6898,20.92391304
experience,10,3088,15.76086957
camouflage,10,2619,14.67391304
silhouette,10,2395,13.31521739
masquerade,10,2115,12.5
leprechaun,10,1350,11.14130435
pedestrian,10,1347,10.86956522
repertoire,10,1126,9.782608696
quarantine,10,972,9.239130435
chimpanzee,10,739,8.695652174
caricature,10,694,8.423913043
salmonella,10,632,8.152173913
accomplice,10,501,7.880434783
palindrome,10,412,7.608695652
prostitute,10,385,7.336956522
chinchilla,10,351,7.065217391
hallelujah,10,319,6.793478261
guillotine,10,280,6.52173913
cellophane,10,256,6.25
eucalyptus,10,237,5.97826087
phenomenon,10,234,5.706521739
trampoline,10,219,5.434782609
crustacean,10,197,5.163043478
tambourine,10,193,4.891304348
propaganda,10,159,4.619565217
rhinoceros,10,30,2.445652174
silhouette,10,26,1.766304348
cantaloupe,10,26,1.766304348
hieroglyph,10,18,1.358695652
somersault,10,16,1.086956522
shenanigan,10,7,0.27173913
difficult,9,70241,50.27173913
determine,9,60442,46.4673913
principle,9,30693,38.85869565
architect,9,30688,38.58695652
satellite,9,19083,34.23913043
complaint,9,17898,33.9673913
intellect,9,17294,33.15217391
cartridge,9,12878,29.61956522
pronounce,9,12358,28.80434783
marijuana,9,10768,26.63043478
programme,9,9107,23.64130435
privilege,9,8437,23.36956522
embarrass,9,8394,23.09782609
holocaust,9,7056,21.4673913
catalogue,9,6949,21.19565217
colleague,9,6815,20.65217391
hurricane,9,5869,19.02173913
artillery,9,5024,18.20652174
valentine,9,4359,17.11956522
neighbour,9,4163,16.84782609
threshold,9,3365,16.30434783
versatile,9,2703,15.2173913
boomerang,9,2663,14.94565217
apparatus,9,2576,14.40217391
boulevard,9,2551,14.13043478
blaspheme,9,2528,13.85869565
etiquette,9,2411,13.58695652
reservoir,9,2212,13.04347826
