Prefix1,PermutedPrefix1,Example1,Example2,Frequency
re,er,rebord,reconnaitre,6595.02
en,ne,encastré,endormir,2094.69
dé,éd,dégoût,défaire,1752.69
in,ni,inutile,inanimé,1478.96
im,mi,immature,imparfait,1478.96
co,oc,copilote,cohabiter,73.72
ad,da,advenir,admettre,28.56
pour,poru,poursuivre,pourvoir,94.14
inter,renti,interagir,interactif,65.87
anti,tani,antipathie,antireligieux,9.51
contre,trenco,contresens,contradiction,19.71
sur,rus,surcharge,surpasser,248.22
pré,rép,préhistoire,prénom,209.31
sou,osu,soulever,soupeser,98.6
pro,rop,proposer,projeter,37.76
mal,lam,malheureux,malchance,99
non,onn,nonchalant,nonviolent,99
dys,syd,dyspepsie,dyslexie,0.86
