Suffix1,PermutedSuffix1,Example1,Example2,Frequency
al,la,spatial,terminal,1125.04
el,le,traditionnel,universel,1103.4
if,fi,attentif,captif,409.41
at,ta,pensionat,orphelinat,166.91
er,re,passager,printanier,316.04
in,ni,enfantin,blondin,109.48
té,ét,fierté,légerté,99
at,ta,orphelinat,pensionnat,99
ment,nemt,abattement,paiement,5042.81
able,albe,vulnérable,acceptable,1042.69
euse,eseu,fameuse,affectueuse,1027.7
aire,arie,stagiaire,alimentaire,853.76
ique,equi,académique,allergique,852.45
iste,eist,chimiste,communiste,322.75
isme,isem,racisme,érotisme,100.85
ion,oin,progression,protection,3498.54
ant,nat,quadrant,répondant,3302.44
ent,net,excellent,résident,3302.44
eur,ure,rockeur,rôdeur,2127.06
ité,tié,rugosité,spécialité,1491.88
