Root,Wordlength,Frequency,PercentileFrequency
grenouille,10,69.85,65.33957845
coqueluche,10,63.59,62.29508197
corbillard,10,61.05,60.42154567
guérillero,10,51.71,55.50351288
holocauste,10,26.43,32.08430913
caricature,10,19.52,21.54566745
cellophane,10,17.14,20.6088993
rhinocéros,10,8.72,16.39344262
ribambelle,10,8.47,16.15925059
labyrinthe,10,8.3,15.69086651
salamandre,10,5.73,14.51990632
diaphragme,10,5.12,13.58313817
lieutenant,10,4.81,12.64637002
caoutchouc,10,3.53,11.70960187
capharnaüm,10,3.39,11.47540984
cappuccino,10,3.08,10.77283372
accessoire,10,1.76,7.728337237
cathédrale,10,1.74,7.494145199
escogriffe,10,1.34,5.620608899
chambranle,10,1.25,5.152224824
champignon,10,1.17,4.800936768
eucalyptus,10,1.03,4.449648712
tintamarre,10,0.96,3.981264637
tourbillon,10,0.73,3.512880562
choucroute,10,0.49,2.81030445
clandestin,10,0.29,2.341920375
apocalypse,10,0.09,0.702576112
hiérarchie,10,0.06,0.468384075
gingembre,9,386.9,92.74004684
acquiesça,9,207.68,89.22716628
phénomène,9,207.59,88.99297424
consensus,9,159.57,85.94847775
séquestre,9,154.25,85.48009368
bourgeron,9,152.7,84.77751756
piédestal,9,150.94,84.54332553
bourgogne,9,150.58,84.30913349
léthargie,9,116.78,78.68852459
pissenlit,9,116.56,78.22014052
sollicite,9,103.96,74.00468384
pochetron,9,68.9,64.87119438
copyright,9,66.74,63.23185012
manifeste,9,55.37,58.07962529
manigance,9,54.82,57.61124122
manoeuvre,9,53.44,56.67447307
cornichon,9,51.12,54.80093677
guilleret,9,46.5,53.39578454
guirlande,9,45.52,52.69320843
habitacle,9,43.63,51.52224824
hamburger,9,39.13,47.30679157
bachelier,9,38.96,47.07259953
bafouilla,9,38.71,46.60421546
pourliche,9,38.62,46.37002342
poussière,9,38.24,46.13583138
préalable,9,36.9,44.73067916
barricade,9,34.94,43.09133489
harmonica,9,33.32,41.21779859
hécatombe,9,31.65,39.3442623
primevère,9,31.07,38.64168618
privilège,9,30.27,36.8852459
processus,9,29.55,35.48009368
blasphème,9,28.97,34.66042155
protocole,9,24.25,28.1030445
horoscope,9,23.93,27.40046838
couvercle,9,21.34,23.65339578
hurricane,9,20.4,22.24824356
catalogue,9,17.73,21.07728337
nostalgie,9,17.49,20.84309133
bulldozer,9,14.39,18.50117096
crocodile,9,14.09,18.03278689
chirurgie,9,13.88,17.79859485
orchestre,9,12.65,17.56440281
cacahuète,9,10.23,17.33021077
cachemire,9,10.14,17.09601874
pantoufle,9,9.75,16.8618267
kangourou,9,9,16.62763466
alligator,9,8.43,15.92505855
langouste,9,7.59,15.45667447
rossignol,9,6.62,15.22248244
leitmotiv,9,5.97,14.9882904
camembert,9,5.96,14.75409836
pharmacie,9,5.3,14.28571429
avalanche,9,5.2,14.05152225
sarabande,9,5.14,13.81733021
libellule,9,5.09,13.23185012
satellite,9,5.09,13.23185012
difficile,9,4.9,12.88056206
dinosaure,9,4.57,12.41217799
diplomate,9,4.56,12.17798595
ambassade,9,3.72,11.94379391
magnanime,9,3.25,11.2412178
magouille,9,3.23,11.00702576
caractère,9,3,10.53864169
