Word,Root,Suffix1,Suffix2,Wordlength,Frequency
finalement,fin,al,ment,10,45.89
uniquement,un,ique,ment,10,21.86
artistique,art,ist,ique,10,10
socialisme,soci,al,isme,10,4.9
émotionnel,émot,ion,nel,10,4.72
bombardier,bomb,ard,ier,10,3.02
créativité,créat,iv,ité,10,2.15
popularité,popul,ar,ité,10,2.03
utilisable,util,is,able,10,1.3
visibilité,vis,ibil,ité,10,1.27
activement,act,ive,ment,10,1.18
sensualité,sensu,al,ité,10,1.14
royalement,roy,ale,ment,10,0.83
relativité,relat,iv,ité,10,0.5
neutralité,neutr,al,ité,10,0.46
malicieuse,mal,ice,ieuse,10,0.4
sportivité,sport,iv,ité,10,0.02
sacrifice,sacr,if,ice,9,23.11
sexualité,sex,ual,ité,9,6.02
formalité,form,al,ité,9,3.77
brutalité,brut,al,ité,9,2.87
amabilité,am,abil,ité,9,2.81
captivité,capt,iv,ité,9,2.15
idéaliste,idé,al,iste,9,2.09
justicier,just,ic,ier,9,1.93
mortalité,mort,al,ité,9,1.51
festivité,fest,iv,ité,9,1.19
garagiste,gar,ag,iste,9,1.25
pesanteur,pes,ant,eur,9,1.12
pendentif,pend,ent,if,9,1
idéalisme,idé,al,isme,9,0.98
alpiniste,alp,in,iste,9,0.95
armurerie,arm,ur,erie,9,0.89
longévité,long,év,ité,9,0.71
éditorial,édit,or,ial,9,0.5
finaliste,fin,al,iste,9,0.36
ombrageux,ombr,ag,eux,9,0.31
doucereux,douc,er,eux,9,0.25
électorat,élect,or,ar,9,0.24
malignité,mal,ign,ité,9,0.04
mûrissant,mûr,iss,ant,9,0.03
servilité,serv,il,ité,9,0.01
pesamment,pes,am,ment,9,0
piquetage,piqu,et,age,9,0
passager,pass,ag,er,8,24.06
festival,fest,iv,al,8,7.51
puanteur,pu,ant,eur,8,3.44
tonalité,ton,al,ité,8,1.26
vitalité,vit,al,ité,8,1.08
vivacité,viv,ac,ité,8,0.74
pénalité,pén,al,ité,8,0.6
armurier,arm,ur,ier,8,0.6
véracité,cér,ac,ité,8,0.58
finalité,fin,al,ité,8,0.46
sonorité,son,or,ité,8,0.26
activité,act,iv,ité,8,0.26
nativité,nat,iv,ité,8,0.14
voracité,vor,ac,ité,8,0.07
ondulant,ond,ul,ant,8,0.01
notariat,not,ari,at,8,0
agilité,ag,il,ité,7,1
orbital,orb,it,al,7,0.28
