first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
renew,renew,pr,re,new,,renew,target,r,,1,e,i,reniw,0,5,real,block1
reversable,reversabla,prs,re,vers,able,reversable,target,s,0.0,3,e,a,reversabla,1,10,real,block1
again,egain,r,,again,,again,control,r,,0,a,e,egain,1,5,real,block1
standard,standarf,r,,standard,,standard,control,r,,7,d,f,standarf,1,8,real,block1
disembark,disemtark,ppr,dis_em,bark,,disembark,target,r,,0,b,t,disemtark,1,9,real,block1
wmong,wmong,r,,wrong,,wrong,control,r,,1,r,m,wmong,2,5,real,block1
cassette,cassetpe,r,,cassette,,cassette,control,r,,6,t,p,cassetpe,1,8,real,block1
pregramme,pregramme,r,,programme,,programme,control,r,,2,o,e,pregramme,2,9,real,block1
parasite,parasite,r,,parasite,,parasite,control,r,,2,r,l,palasite,0,8,real,block1
satelmite,satelmite,r,,satellite,,satellite,control,r,,5,l,m,satelmite,2,9,real,block1
caricafure,caricature,r,,caricature,,caricature,control,r,,6,t,f,caricafure,3,10,real,block1
herricane,hurricane,r,,hurricane,,hurricane,control,r,,1,u,e,herricane,3,9,real,block1
ingredient,ingrefient,r,,ingredient,,ingredient,control,r,,5,d,f,ingrefient,1,10,real,block1
champagne,champagne,r,,champagne,,champagne,control,r,,7,n,m,champagme,0,9,real,block1
immorally,immorally,prs,im,moral,ly,immorally,target,s,0.0,1,y,l,immoralll,0,9,real,block1
silhouetta,silhouetta,r,,silhouette,,silhouette,control,r,,9,e,a,silhouetta,2,10,real,block1
principle,principle,r,,principle,,principle,control,r,,7,l,y,principye,0,9,real,block1
reservoir,reservoor,r,,reservoir,,reservoir,control,r,,7,i,o,reservoor,1,9,real,block1
dihficult,difficult,r,,difficult,,difficult,control,r,,2,f,h,dihficult,3,9,real,block1
undisclose,undisclose,ppr,un_dis,close,,undisclose,target,p,1.0,0,d,h,unhisclose,0,10,real,block1
marhhall,marshall,r,,marshall,,marshall,control,r,,3,s,h,marhhall,3,8,real,block1
menewal,menewal,prs,re,new,al,renewal,target,p,0.0,0,r,m,menewal,2,7,real,block1
hallelujah,hallelujah,r,,hallelujah,,hallelujah,control,r,,4,e,a,hallalujah,0,10,real,block1
understand,undorstand,r,,understand,,understand,control,r,,3,e,o,undorstand,1,10,real,block1
reimburse,reimburse,ppr,re_im,burse,,reimburse,target,p,0.0,0,r,w,weimburse,0,9,real,block1
biomerang,biomerang,r,,boomerang,,boomerang,control,r,,1,o,i,biomerang,2,9,real,block1
light,light,r,,light,,light,control,r,,0,l,r,right,0,5,real,block1
meirder,meirder,rs,,weird,er,weirder,target,r,,0,w,m,meirder,2,7,real,block1
redishover,redishover,ppr,re_dis,cover,,rediscover,target,r,,0,c,h,redishover,2,10,real,block1
cetalogue,catalogue,r,,catalogue,,catalogue,control,r,,1,a,e,cetalogue,3,9,real,block1
sountry,country,r,,country,,country,control,r,,0,c,s,sountry,3,7,real,block1
whitest,whitess,rs,,whit,est,whitest,target,s,0.0,2,t,s,whitess,1,7,real,block1
sysgem,sysgem,r,,system,,system,control,r,,3,t,g,sysgem,2,6,real,block1
cisruption,disruption,prs,dis,rupt,ion,disruption,target,p,0.0,0,d,c,cisruption,3,10,real,block1
shenanigan,shenonigan,r,,shenanigan,,shenanigan,control,r,,4,a,o,shenonigan,1,10,real,block1
gayer,gayem,rs,,gay,er,gayer,target,s,0.0,1,r,m,gayem,1,5,real,block1
decoder,decuder,prs,de,cod,er,decoder,target,r,,1,o,u,decuder,1,7,real,block1
tisbelieve,disbelieve,pr,dis,believe,,disbelieve,target,p,0.0,0,d,t,tisbelieve,3,10,real,block1
solidihy,solidify,rs,,solid,ify,solidify,target,s,0.0,1,f,h,solidihy,3,8,real,block1
ceremony,ceremony,r,,ceremony,,ceremony,control,r,,3,e,a,ceramony,0,8,real,block1
dosagree,disagree,pr,dis,agree,,disagree,target,p,0.0,1,i,o,dosagree,3,8,real,block1
experience,experience,r,,experience,,experience,control,r,,1,x,t,etperience,0,10,real,block1
artifice,artifice,r,,artifice,,artifice,control,r,,6,c,d,artifide,0,8,real,block1
dishonor,dishonor,pr,dis,honor,,dishonor,target,p,0.0,1,i,o,doshonor,0,8,real,block1
reviener,reviewer,prs,re,view,er,reviewer,target,r,,3,w,n,reviener,3,8,real,block1
still,stiwl,r,,still,,still,control,r,,3,l,w,stiwl,1,5,real,block1
premistake,premistake,ppr,pre_mis,take,,premistake,target,r,,2,k,t,premistate,0,10,real,block1
examplo,example,r,,example,,example,control,r,,6,e,o,examplo,3,7,real,block1
welcome,welcome,r,,welcome,,welcome,control,r,,0,w,m,melcome,0,7,real,block1
suvcess,suvcess,r,,success,,success,control,r,,2,c,v,suvcess,2,7,real,block1
ancase,ancase,pr,en,case,,encase,target,p,0.0,0,e,a,ancase,2,6,real,block1
cimpare,compare,r,,compare,,compare,control,r,,1,o,i,cimpare,3,7,real,block1
converpe,converse,r,,converse,,converse,control,r,,6,s,p,converpe,3,8,real,block1
remover,remover,prs,re,mov,er,remover,target,r,,2,v,s,remoser,0,7,real,block1
ttart,ttart,r,,start,,start,control,r,,0,s,t,ttart,2,5,real,block1
reusabwe,reusabwe,prs,re,us,able,reusable,target,s,0.0,2,l,w,reusabwe,2,8,real,block1
provance,provance,r,,province,,province,control,r,,4,i,a,provance,2,8,real,block1
ettract,extract,pr,ex,tract,,extract,target,p,0.0,1,x,t,ettract,3,7,real,block1
unditguise,unditguise,ppr,un_dis,guise,,undisguise,target,p,1.0,2,s,t,unditguise,2,10,real,block1
address,address,r,,address,,address,control,r,,5,s,h,addrehs,0,7,real,block1
contlict,conflict,r,,conflict,,conflict,control,r,,3,f,t,contlict,3,8,real,block1
exircise,exercise,r,,exercise,,exercise,control,r,,2,e,i,exircise,3,8,real,block1
wilmfully,willfully,rss,,will,ful_ly,willfully,target,r,,3,l,m,wilmfully,3,9,real,block1
rhinoceros,rhinoceros,r,,rhinoceros,,rhinoceros,control,r,,2,i,u,rhunoceros,0,10,real,block1
ungracekul,ungraceful,prs,un,grace,ful,ungraceful,target,s,0.0,0,f,k,ungracekul,3,10,real,block1
unnaturol,unnatural,prs,un,natur,al,unnatural,target,s,0.0,0,a,o,unnaturol,3,9,real,block1
actar,actar,rs,,act,or,actor,target,s,0.0,0,o,a,actar,2,5,real,block1
camoaflage,camoaflage,r,,camouflage,,camouflage,control,r,,4,u,a,camoaflage,2,10,real,block1
reciqe,reciqe,r,,recipe,,recipe,control,r,,4,p,q,reciqe,2,6,real,block1
sensory,sensory,rss,,sens,or_y,sensory,target,r,,1,e,i,sinsory,0,7,real,block1
dommune,dommune,r,,commune,,commune,control,r,,0,c,d,dommune,2,7,real,block1
remisalign,rumisalign,ppr,re_mis,align,,remisalign,target,p,0.0,1,e,u,rumisalign,1,10,real,block1
seasonam,seasonal,rs,,season,al,seasonal,target,s,0.0,1,l,m,seasonam,3,8,real,block1
marijaana,marijuana,r,,marijuana,,marijuana,control,r,,5,u,a,marijaana,3,9,real,block1
reread,reread,pr,re,read,,reread,target,p,0.0,1,e,o,roread,0,6,real,block1
pemplate,pemplate,r,,template,,template,control,r,,0,t,p,pemplate,2,8,real,block1
persuade,pertuade,r,,persuade,,persuade,control,r,,3,s,t,pertuade,1,8,real,block1
enderline,underline,pr,under,line,,underline,target,p,0.0,0,u,e,enderline,3,9,real,block1
discourage,discourage,pr,dis,courage,,discourage,target,p,0.0,2,s,c,diccourage,0,10,real,block1
cellophane,cellophane,r,,cellophane,,cellophane,control,r,,1,e,o,collophane,0,10,real,block1
sourthly,fourthly,rss,,four,th_ly,fourthly,target,r,,0,f,s,sourthly,3,8,real,block1
procreate,procreate,pr,pro,create,,procreate,target,r,,5,e,o,procreato,0,9,real,block1
dormality,formality,rss,,form,al_ity,formality,target,r,,0,f,d,dormality,3,9,real,block1
colleaguo,colleague,r,,colleague,,colleague,control,r,,8,e,o,colleaguo,3,9,real,block1
relient,reliant,rs,,reli,ant,reliant,target,s,0.0,0,a,e,relient,3,7,real,block1
chinchalla,chinchilla,r,,chinchilla,,chinchilla,control,r,,6,i,a,chinchalla,3,10,real,block1
program,pragram,r,,program,,program,control,r,,2,o,a,pragram,1,7,real,block1
misreport,misreporp,ppr,mis_re,port,,misreport,target,r,,3,t,p,misreporp,1,9,real,block1
uninform,uninform,ppr,un_in,form,,uninform,target,r,,2,r,n,uninfonm,0,8,real,block1
rottenly,rottenmy,rss,,rott,en_ly,rottenly,target,s,1.0,0,l,m,rottenmy,1,8,real,block1
tearch,search,r,,search,,search,control,r,,0,s,t,tearch,3,6,real,block1
reovercook,reovercook,ppr,re_over,cook,,reovercook,target,r,,1,o,e,reoverceok,0,10,real,block1
ponvince,convince,r,,convince,,convince,control,r,,0,c,p,ponvince,3,8,real,block1
rupay,repay,pr,re,pay,,repay,target,p,0.0,1,e,u,rupay,3,5,real,block1
eucalyptus,eucalypsus,r,,eucalyptus,,eucalyptus,control,r,,7,t,s,eucalypsus,1,10,real,block1
strength,btrength,r,,strength,,strength,control,r,,0,s,b,btrength,1,8,real,block1
reoutsell,reouhsell,ppr,re_out,sell,,reoutsell,target,p,1.0,2,t,h,reouhsell,1,9,real,block1
modamly,modally,rss,,mod,al_ly,modally,target,s,0.0,1,l,m,modamly,3,7,real,block1
youthfulyy,youthfulyy,rss,,youth,ful_ly,youthfully,target,s,1.0,0,l,y,youthfulyy,2,10,real,block1
college,cillege,r,,college,,college,control,r,,1,o,i,cillege,1,7,real,block1
happan,happen,r,,happen,,happen,control,r,,4,e,a,happan,3,6,real,block1
support,support,r,,support,,support,control,r,,2,p,t,sutport,0,7,real,block1
rejuvenate,rejevenate,prs,re,juven,ate,rejuvenate,target,r,,1,u,e,rejevenate,1,10,real,block1
roactor,reactor,prs,re,act,or,reactor,target,p,0.0,1,e,o,roactor,3,7,real,block1
rarun,rerun,pr,re,run,,rerun,target,p,0.0,1,e,a,rarun,3,5,real,block1
illegar,illegar,pr,il,legal,,illegal,target,r,,4,l,r,illegar,2,7,real,block1
raoutsmart,reoutsmart,ppr,re_out,smart,,reoutsmart,target,p,0.0,1,e,a,raoutsmart,3,10,real,block1
unehentful,unehentful,prs,un,event,ful,uneventful,target,r,,1,v,h,unehentful,2,10,real,block1
puychase,puychase,r,,purchase,,purchase,control,r,,2,r,y,puychase,2,8,real,block1
prewisuse,prewisuse,ppr,pre_mis,use,,premisuse,target,p,1.0,0,m,w,prewisuse,2,9,real,block1
riimpose,riimpose,ppr,re_im,pose,,reimpose,target,p,0.0,1,e,i,riimpose,2,8,real,block1
ropaint,ropaint,pr,re,paint,,repaint,target,p,0.0,1,e,o,ropaint,2,7,real,block1
westennize,westennize,rss,,west,ern_ize,westernize,target,s,0.0,1,r,n,westennize,2,10,real,block1
unlawfel,unlawfel,prs,un,law,ful,unlawful,target,s,0.0,1,u,e,unlawfel,2,8,real,block1
wistfolly,wistfolly,rss,,wist,ful_ly,wistfully,target,s,0.0,1,u,o,wistfolly,2,9,real,block1
reemact,reemact,ppr,re_en,act,,reenact,target,p,1.0,1,n,m,reemact,2,7,real,block1
command,cormand,r,,command,,command,control,r,,2,m,r,cormand,1,7,real,block1
enact,enact,pr,en,act,,enact,target,p,0.0,1,n,m,emact,0,5,real,block1
redisagree,redisogree,ppr,re_dis,agree,,redisagree,target,r,,0,a,o,redisogree,1,10,real,block1
wrestler,wrestjer,rs,,wrestl,er,wrestler,target,r,,5,l,j,wrestjer,1,8,real,block1
nurtipal,nurtipal,rss,,nurt,ic_al,nurtical,target,s,0.0,1,c,p,nurtipal,2,8,pseudo,block2
trigyl,tragyl,rs,,trig,yl,trigyl,control,r,,2,i,a,tragyl,1,6,pseudo,block2
bamooslaml,bamooslayl,prss,ba,moos,la_yl,bamooslayl,control,s,1.0,0,y,m,bamooslaml,3,10,pseudo,block2
