first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type,block
nocelba,nacelba,rs,noc,,elba,nocelba,control,r,,1,o,a,nacelba,1,7,pseudo,block1
inkelsate,irkelsate,prs,kels,in,ate,inkelsate,target,p,0.0,1,n,r,irkelsate,1,9,pseudo,block1
unkeir,unkeir,pr,keir,un,,unkeir,target,r,,2,i,e,unkeer,0,6,pseudo,block1
erednoc,eredwoc,ppr,noc,er_ed,,erednoc,control,r,,0,n,w,eredwoc,1,7,pseudo,block1
abketally,abketally,prss,ket,ab,al_ly,abketally,target,r,,0,k,t,abtetally,0,9,pseudo,block1
telk,telk,r,selk,,,selk,control,r,,0,s,t,telk,2,4,pseudo,block1
retaur,retaun,pr,taun,re,,retaun,target,r,,3,n,r,retaur,3,6,pseudo,block1
leg,neg,r,neg,,,neg,target,r,,0,n,l,leg,3,3,pseudo,block1
honc,honc,r,tonc,,,tonc,control,r,,0,t,h,honc,2,4,pseudo,block1
keamistic,keamistic,rss,keam,,ist_ic,keamistic,target,s,0.0,2,t,c,keamiscic,0,9,pseudo,block1
eroturoet,eroturoet,ppr,reet,er_otu,,erotureet,control,r,,1,e,o,eroturoet,2,9,pseudo,block1
rentirem,rentilem,pr,rem,renti,,rentirem,control,r,,0,r,l,rentilem,1,8,pseudo,block1
basarglarl,basarglarl,prss,sarg,ba,la_yl,basarglayl,control,s,1.0,0,y,r,basarglarl,2,10,pseudo,block1
edmeaketa,edmeaketa,prs,meak,ed,eta,edmeaketa,control,p,0.0,1,d,s,esmeaketa,0,9,pseudo,block1
kelsalist,kersalist,rss,kels,,al_ist,kelsalist,target,r,,2,l,r,kersalist,1,9,pseudo,block1
ersifrem,ersifrem,ppr,rem,er_sid,,ersidrem,control,p,1.0,2,d,f,ersifrem,2,8,pseudo,block1
unketical,unketical,prss,ket,un,ic_al,unketical,target,p,0.0,0,u,o,onketical,0,9,pseudo,block1
nulouklayl,nulouklayl,prss,louk,nu,la_yl,nulouklayl,control,s,1.0,0,y,w,nulouklawl,0,10,pseudo,block1
siwlasitci,siwlasitci,rsss,siw,,la_sit_ci,siwlasitci,control,s,2.0,0,c,t,siwlasitti,0,10,pseudo,block1
erruc,erruc,pr,nuc,er,,ernuc,control,r,,0,n,r,erruc,2,5,pseudo,block1
reryl,reryl,rs,rem,,yl,remyl,control,r,,2,m,r,reryl,2,5,pseudo,block1
teakistih,teakistih,rss,teak,,ist_ic,teakistic,target,s,1.0,1,c,h,teakistih,2,9,pseudo,block1
liskoopion,liskoopion,prs,koop,mis,ion,miskoopion,target,p,0.0,0,m,l,liskoopion,2,10,pseudo,block1
dateclayit,dateclayit,prss,tec,ba,la_yit,bateclayit,control,p,0.0,0,b,d,dateclayit,2,10,pseudo,block1
decunata,decunate,prs,cun,de,ate,decunate,target,s,0.0,2,e,a,decunata,3,8,pseudo,block1
unconalmy,unconalmy,prss,con,un,al_ly,unconally,target,s,1.0,0,l,m,unconalmy,2,9,pseudo,block1
nutrigulf,nutrigumf,prs,trig,nu,ulf,nutrigulf,control,s,0.0,1,l,m,nutrigumf,1,9,pseudo,block1
tekcelayl,tekcelayl,rsss,tek,,ci_la_yl,tekcilayl,control,s,0.0,1,i,e,tekcelayl,2,9,pseudo,block1
redisdarf,redisdurf,ppr,darf,re_dis,,redisdarf,target,r,,1,a,u,redisdurf,1,9,pseudo,block1
trunlesim,trunlasim,rss,trun,,la_sim,trunlasim,control,s,0.0,1,a,e,trunlesim,3,9,pseudo,block1
epbofeta,edbofeta,prs,bof,ed,eta,edbofeta,control,p,0.0,1,d,p,epbofeta,3,8,pseudo,block1
infom,imfom,pr,fom,in,,infom,target,p,0.0,1,n,m,imfom,1,5,pseudo,block1
sidremoos,sidmemoos,ppr,moos,sid_me,,sidmemoos,control,p,1.0,0,m,r,sidremoos,3,9,pseudo,block1
cetful,cetful,rs,cet,,ful,cetful,target,s,0.0,2,l,y,cetfuy,0,6,pseudo,block1
fam,fam,r,fam,,,fam,target,r,,2,m,n,fan,0,3,pseudo,block1
werkenca,werkenca,rs,werk,,enca,werkenca,control,r,,3,k,f,werfenca,0,8,pseudo,block1
kemsly,kelsly,rs,kels,,ly,kelsly,target,r,,2,l,m,kemsly,3,6,pseudo,block1
koop,koip,r,koop,,,koop,target,r,,2,o,i,koip,1,4,pseudo,block1
numof,numof,pr,mof,nu,,numof,control,r,,2,f,p,numop,0,5,pseudo,block1
edneilezi,edneilezi,prs,neil,ed,ezi,edneilezi,control,r,,0,n,r,edreilezi,0,9,pseudo,block1
otutonc,itutonc,pr,tonc,otu,,otutonc,control,p,0.0,0,o,i,itutonc,1,7,pseudo,block1
teas,teas,r,teak,,,teak,target,r,,3,k,s,teas,2,4,pseudo,block1
erotukeat,erotukeat,ppr,keat,er_otu,,erotukeat,control,r,,3,t,h,erotukeah,0,9,pseudo,block1
interkeir,intejkeir,pr,keir,inter,,interkeir,target,p,0.0,4,r,j,intejkeir,1,9,pseudo,block1
erwerk,erwark,pr,werk,er,,erwerk,control,r,,1,e,a,erwark,1,6,pseudo,block1
nardcilayl,nardcilayl,rsss,nurd,,ci_la_yl,nurdcilayl,control,r,,1,u,a,nardcilayl,2,10,pseudo,block1
redegloc,redegmoc,ppr,gloc,re_de,,redegloc,target,r,,1,l,m,redegmoc,1,8,pseudo,block1
pook,poik,r,pook,,,pook,control,r,,2,o,i,poik,1,4,pseudo,block1
unglocical,unglotical,prss,gloc,un,ic_al,unglocical,target,r,,3,c,t,unglotical,1,10,pseudo,block1
nurdolf,nurdolf,rs,nurd,,ulf,nurdulf,control,s,0.0,0,u,o,nurdolf,2,7,pseudo,block1
infobution,infobation,prss,fob,in,at_ion,infobation,target,s,0.0,0,a,u,infobution,3,10,pseudo,block1
ler,ler,r,mer,,,mer,target,r,,0,m,l,ler,2,3,pseudo,block1
mefilsens,mafilsens,rss,maf,,il_sens,mafilsens,control,r,,1,a,e,mefilsens,3,9,pseudo,block1
abcomality,abconality,prss,con,ab,al_ity,abconality,target,r,,2,n,m,abcomality,3,10,pseudo,block1
disemfob,disemfot,ppr,fob,dis_em,,disemfob,target,r,,2,b,t,disemfot,1,8,pseudo,block1
reoutgras,reoutgras,ppr,gras,re_out,,reoutgras,target,p,0.0,1,e,i,rioutgras,0,9,pseudo,block1
nuneillayl,nuniillayl,prss,neil,nu,la_yl,nuneillayl,control,r,,1,e,i,nuniillayl,1,10,pseudo,block1
unisoomly,unosoomly,prs,soom,uni,ly,unisoomly,target,p,0.0,2,i,o,unosoomly,1,9,pseudo,block1
trunsotci,trunsotci,rss,trun,,sit_ci,trunsitci,control,s,0.0,1,i,o,trunsotci,2,9,pseudo,block1
enfam,unfam,pr,fam,un,,unfam,target,p,0.0,0,u,e,enfam,3,5,pseudo,block1
fradcilaml,fradcilaml,rsss,frad,,ci_la_yl,fradcilayl,control,s,2.0,0,y,m,fradcilaml,2,10,pseudo,block1
ersimmoos,ersimmoos,ppr,moos,er_sim,,ersimmoos,control,p,0.0,0,e,u,ursimmoos,0,9,pseudo,block1
progloc,pregloc,pr,gloc,pro,,progloc,target,p,0.0,2,o,e,pregloc,1,7,pseudo,block1
niloud,niloud,pr,louk,ni,,nilouk,control,r,,3,k,d,niloud,2,6,pseudo,block1
regically,negically,rsss,neg,,ic_al_ly,negically,target,r,,0,n,r,regically,3,9,pseudo,block1
bof,bof,r,bof,,,bof,control,r,,1,o,e,bef,0,3,pseudo,block1
famically,famically,rsss,fam,,ic_al_ly,famically,target,s,0.0,0,i,a,famacally,0,9,pseudo,block1
sidmeselk,sidmesalk,ppr,selk,sid_me,,sidmeselk,control,r,,1,e,a,sidmesalk,1,9,pseudo,block1
folg,folg,r,colg,,,colg,control,r,,0,c,f,folg,2,4,pseudo,block1
grosliness,grasliness,rss,gras,,li_ness,grasliness,target,r,,2,a,o,grosliness,3,10,pseudo,block1
truncilayl,truncimayl,rsss,trun,,ci_la_yl,truncilayl,control,s,1.0,0,l,m,truncimayl,1,10,pseudo,block1
reoatcun,reoatcun,ppr,cun,re_out,,reoutcun,target,p,1.0,1,u,a,reoatcun,2,8,pseudo,block1
hrigulfyl,hrigulfyl,rss,trig,,ulf_yl,trigulfyl,control,r,,0,t,h,hrigulfyl,2,9,pseudo,block1
pradisnurt,pradisnurt,ppr,nurt,pre_dis,,predisnurt,target,p,0.0,2,e,a,pradisnurt,2,10,pseudo,block1
nobcilayl,noccilayl,rsss,noc,,ci_la_yl,noccilayl,control,r,,2,c,b,nobcilayl,3,9,pseudo,block1
drun,drum,r,drun,,,drun,target,r,,3,n,m,drum,1,4,pseudo,block1
inmerly,inmerly,prs,mer,in,ly,inmerly,target,r,,1,e,a,inmarly,0,7,pseudo,block1
numoes,numoos,pr,moos,nu,,numoos,control,r,,2,o,e,numoes,3,6,pseudo,block1
geef,goef,r,geef,,,geef,target,r,,1,e,o,goef,1,4,pseudo,block1
krewically,kremically,rsss,krew,,ic_al_ly,krewically,target,r,,3,w,m,kremically,1,10,pseudo,block1
unwisious,unwisious,prs,wis,un,ious,unwisious,target,p,0.0,0,u,i,inwisious,0,9,pseudo,block1
banautlayl,banautliyl,prss,naut,ba,la_yl,banautlayl,control,s,0.0,1,a,i,banautliyl,1,10,pseudo,block1
ernimeak,ernimeak,ppr,meak,er_ni,,ernimeak,control,r,,2,a,e,ernimeek,0,8,pseudo,block1
ersidselk,ersidsolk,ppr,selk,er_sid,,ersidselk,control,r,,1,e,o,ersidsolk,1,9,pseudo,block1
louk,louk,r,louk,,,louk,control,r,,0,l,r,rouk,0,4,pseudo,block1
pooksens,tooksens,rs,pook,,sens,pooksens,control,r,,0,p,t,tooksens,1,8,pseudo,block1
fiwulf,siwulf,rs,siw,,ulf,siwulf,control,r,,0,s,f,fiwulf,3,6,pseudo,block1
koul,koil,r,koul,,,koul,target,r,,2,u,i,koil,1,4,pseudo,block1
nunurdlayl,nunuydlayl,prss,nurd,nu,la_yl,nunurdlayl,control,r,,2,r,y,nunuydlayl,1,10,pseudo,block1
miselksens,meselksens,prs,selk,mi,sens,miselksens,control,p,0.0,1,i,e,meselksens,1,10,pseudo,block1
feegcilayl,feegcilayl,rsss,feeg,,ci_la_yl,feegcilayl,control,s,2.0,0,y,m,feegcilaml,0,10,pseudo,block1
neilouis,neilouih,rs,neil,,ouis,neilouis,control,s,0.0,3,s,h,neilouih,1,8,pseudo,block1
selkcilayl,selkcileyl,rsss,selk,,ci_la_yl,selkcilayl,control,s,1.0,1,a,e,selkcileyl,1,10,pseudo,block1
enkoulity,inkoulity,prs,koul,in,ity,inkoulity,target,p,0.0,0,i,e,enkoulity,3,9,pseudo,block1
reoutcet,reoutcut,ppr,cet,re_out,,reoutcet,target,r,,1,e,u,reoutcut,1,8,pseudo,block1
riek,ruek,r,riek,,,riek,control,r,,1,i,u,ruek,1,4,pseudo,block1
taunful,teunful,rs,taun,,ful,taunful,target,r,,1,a,e,teunful,1,7,pseudo,block1
simriekoni,simriekoni,prs,riek,sim,oni,simriekoni,control,p,0.0,1,i,o,somriekoni,0,10,pseudo,block1
krewness,klewness,rs,krew,,ness,krewness,target,r,,1,r,l,klewness,1,8,pseudo,block1
