first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
deedorize,deodorize,prs,de,odor,ize,deodorize,target,r,,0,o,e,deedorize,3,9,real
unperstand,unperstand,r,,understand,,understand,control,r,,2,d,p,unperstand,2,10,real
mivably,mivably,rss,,mov,abl_y,movably,target,r,,1,o,i,mivably,2,7,real
wlite,write,r,,write,,write,control,r,,1,r,l,wlite,3,5,real
enlistment,enlistment,prs,en,list,ment,enlistment,target,r,,1,i,a,enlastment,0,10,real
dolthin,dolphin,r,,dolphin,,dolphin,control,r,,3,p,t,dolthin,3,7,real
unyest,unrest,pr,un,rest,,unrest,target,r,,0,r,y,unyest,3,6,real
dislite,dislite,pr,dis,like,,dislike,target,r,,2,k,t,dislite,2,7,real
reusable,reusable,prs,re,us,able,reusable,target,r,,0,u,o,reosable,0,8,real
prostitute,prostitute,r,,prostitute,,prostitute,control,r,,7,u,o,prostitote,0,10,real
tonflict,conflict,r,,conflict,,conflict,control,r,,0,c,t,tonflict,3,8,real
dixthly,sixthly,rss,,six,th_ly,sixthly,target,r,,0,s,d,dixthly,3,7,real
neighbir,neighbor,r,,neighbor,,neighbor,control,r,,6,o,i,neighbir,3,8,real
tamcourine,tambourine,r,,tambourine,,tambourine,control,r,,3,b,c,tamcourine,3,10,real
normulity,normulity,rss,,norm,al_ity,normality,target,s,0.0,0,a,u,normulity,2,9,real
remisulign,remisulign,ppr,re_mis,align,,remisalign,target,r,,0,a,u,remisulign,2,10,real
etiquetti,etiquetti,r,,etiquette,,etiquette,control,r,,8,e,i,etiquetti,2,9,real
sotellite,satellite,r,,satellite,,satellite,control,r,,1,a,o,sotellite,3,9,real
sucpense,suspense,r,,suspense,,suspense,control,r,,2,s,c,sucpense,3,8,real
boomerang,boomerang,r,,boomerang,,boomerang,control,r,,0,b,t,toomerang,0,9,real
reimpose,reimpose,ppr,re_im,pose,,reimpose,target,r,,0,p,s,reimsose,0,8,real
princeple,princeple,r,,principle,,principle,control,r,,5,i,e,princeple,2,9,real
cellophane,callophane,r,,cellophane,,cellophane,control,r,,1,e,a,callophane,1,10,real
artifice,artifice,r,,artifice,,artifice,control,r,,7,e,a,artifica,0,8,real
comfort,cemfort,r,,comfort,,comfort,control,r,,1,o,e,cemfort,1,7,real
health,heawth,r,,health,,health,control,r,,3,l,w,heawth,1,6,real
radeflate,radeflate,ppr,re_de,flate,,redeflate,target,p,0.0,1,e,a,radeflate,2,9,real
reictor,reactor,prs,re,act,or,reactor,target,r,,0,a,i,reictor,3,7,real
appraach,approach,r,,approach,,approach,control,r,,4,o,a,appraach,3,8,real
complain,complain,r,,complain,,complain,control,r,,1,o,e,cemplain,0,8,real
cubicil,cubical,rss,,cub,ic_al,cubical,target,s,1.0,0,a,i,cubicil,3,7,real
determine,determime,r,,determine,,determine,control,r,,7,n,m,determime,1,9,real
silhouette,silhouette,r,,silhouette,,silhouette,control,r,,9,e,i,silhouetti,0,10,real
wetly,wetly,rs,,wet,ly,wetly,target,s,0.0,0,l,m,wetmy,0,5,real
platform,hlatform,r,,platform,,platform,control,r,,0,p,h,hlatform,1,8,real
disembowel,disewbowel,ppr,dis_em,bowel,,disembowel,target,p,1.0,1,m,w,disewbowel,1,10,real
skiir,skier,rs,,ski,er,skier,target,s,0.0,0,e,i,skiir,3,5,real
because,because,r,,because,,because,control,r,,2,c,d,bedause,0,7,real
rpinoceros,rpinoceros,r,,rhinoceros,,rhinoceros,control,r,,1,h,p,rpinoceros,2,10,real
udstage,udstage,pr,up,stage,,upstage,target,p,0.0,1,p,d,udstage,2,7,real
rumoval,removal,prs,re,mov,al,removal,target,p,0.0,1,e,u,rumoval,3,7,real
duvalue,duvalue,pr,de,value,,devalue,target,p,0.0,1,e,u,duvalue,2,7,real
trustful,tyustful,rs,,trust,ful,trustful,target,r,,1,r,y,tyustful,1,8,real
gargoyle,gargoyme,r,,gargoyle,,gargoyle,control,r,,6,l,m,gargoyme,1,8,real
attemps,attemps,r,,attempt,,attempt,control,r,,6,t,s,attemps,2,7,real
ulfairly,unfairly,prs,un,fair,ly,unfairly,target,p,0.0,1,n,l,ulfairly,3,8,real
disposal,disposal,prs,dis,pos,al,disposal,target,s,0.0,1,l,w,disposaw,0,8,real
