first,second,condition,root,prefixes,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
cobul,tobul,pr,bul,co,,cobul,target,p,0.0,0,c,t,tobul,1,5,pseudo
gierof,gierof,rs,gier,,if,gierif,target,s,0.0,0,i,o,gierof,2,6,pseudo
répédtnoc,répédtroc,ppr,troc,rép_éd,,répédtroc,control,r,,1,r,n,répédtnoc,3,9,pseudo
roj,roj,r,ruj,,,ruj,control,r,,1,u,o,roj,2,3,pseudo
redicamage,redécamage,pprs,cam,re_dé,age,redécamage,target,p,1.0,1,é,i,redicamage,3,10,pseudo
mifédletié,mifédletié,prss,fod,mi,le_tié,mifodletié,control,r,,1,o,é,mifédletié,2,10,pseudo
naujladié,naujlatié,rss,nauj,,la_tié,naujlatié,control,s,1.0,0,t,d,naujladié,3,9,pseudo
roprujnemt,réprujnemt,prs,ruj,rép,nemt,réprujnemt,control,p,0.0,1,é,o,roprujnemt,3,10,pseudo
nifodlatié,nifodlatié,prss,fod,ni,la_tié,nifodlatié,control,r,,1,o,e,nifedlatié,0,10,pseudo
doulalité,goulalité,rss,doul,,al_ité,doulalité,target,r,,0,d,g,goulalité,1,9,pseudo
poruruj,poruruj,pr,ruj,poru,,poruruj,control,p,0.0,0,p,t,toruruj,0,7,pseudo
sédnifodre,sédnifodre,pprs,fod,séd_ni,re,sédnifodre,control,r,,0,f,t,sédnitodre,0,10,pseudo
noléuttan,neléuttan,prs,léut,ne,tan,neléuttan,control,p,0.0,1,e,o,noléuttan,3,9,pseudo
srérenièr,prérenièr,ppr,nièr,pré_re,,prérenièr,target,p,0.0,0,p,s,srérenièr,3,9,pseudo
groceseu,troceseu,rs,troc,,eseu,troceseu,control,r,,0,t,g,groceseu,3,8,pseudo
lans,lals,r,lans,,,lans,control,r,,2,n,l,lals,1,4,pseudo
irfilivité,irfilivité,prss,fil,in,iv_ité,infilivité,target,p,0.0,1,n,r,irfilivité,2,10,pseudo
inculance,inbulance,prs,bul,in,ance,inbulance,target,r,,0,b,c,inculance,3,9,pseudo
enédfodeag,erédfodeag,pprs,fod,er_éd,eag,erédfodeag,control,p,0.0,1,r,n,enédfodeag,3,10,pseudo
gier,gien,r,gier,,,gier,target,r,,3,r,n,gien,1,4,pseudo
