first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
infortone,infortone,pr,in,fortune,,infortune,target,r,,4,u,o,infortone,2,9,real
inhabituel,inhabituel,prs,in,habitu,el,inhabituel,target,s,0.0,0,e,a,inhabitual,0,10,real
amabilité,emabilité,rss,,am,abil_ité,amabilité,target,r,,0,a,e,emabilité,1,9,real
grilmon,grilmon,r,,grillon,,grillon,control,r,,4,l,m,grilmon,2,7,real
infinité,irfinité,prs,in,fin,ité,infinité,target,p,0.0,1,n,r,irfinité,1,8,real
totalement,totalement,rs,,totale,ment,totalement,target,r,,3,a,i,totilement,0,10,real
améthyste,amathyste,r,,améthyste,,améthyste,control,r,,2,é,a,amathyste,1,9,real
massacri,massacre,r,,massacre,,massacre,control,r,,7,e,i,massacri,3,8,real
tierté,tierté,rs,,fier,té,fierté,target,r,,0,f,t,tierté,2,6,real
ctatue,ctatue,r,,statue,,statue,control,r,,0,s,c,ctatue,2,6,real
biyau,boyau,r,,boyau,,boyau,control,r,,1,o,i,biyau,3,5,real
ertrejambe,ertrejambe,pr,entre,jambe,,entrejambe,target,p,0.0,1,n,r,ertrejambe,2,10,real
marmotte,marmotte,r,,marmotte,,marmotte,control,r,,1,a,i,mirmotte,0,8,real
asticot,asticot,r,,asticot,,asticot,control,r,,6,t,c,asticoc,0,7,real
utelisable,utilisable,rss,,util,is_able,utilisable,target,r,,2,i,e,utelisable,3,10,real
xrenouille,grenouille,r,,grenouille,,grenouille,control,r,,0,g,x,xrenouille,3,10,real
mirabelle,minabelle,r,,mirabelle,,mirabelle,control,r,,2,r,n,minabelle,1,9,real
péralité,pénalité,rss,,pén,al_ité,pénalité,target,r,,2,n,r,péralité,3,8,real
immeuble,immeuble,r,,immeuble,,immeuble,control,r,,3,e,i,immiuble,0,8,real
puchet,puchet,r,,pichet,,pichet,control,r,,1,i,u,puchet,2,6,real
mortel,mortel,rs,,mort,el,mortel,target,s,0.0,0,e,u,mortul,0,6,real
tourbillom,tourbillon,r,,tourbillon,,tourbillon,control,r,,9,n,m,tourbillom,3,10,real
malin,malin,rs,,mal,in,malin,target,s,0.0,1,n,m,malim,0,5,real
traisement,traisement,rs,,traite,ment,traitement,target,r,,4,t,s,traisement,2,10,real
sinalité,finalité,rss,,fin,al_ité,finalité,target,r,,0,f,s,sinalité,3,8,real
serviloté,servilité,rss,,serv,il_ité,servilité,target,s,1.0,0,i,o,serviloté,3,9,real
inaction,inaction,prs,in,act,ion,inaction,target,s,0.0,2,n,r,inactior,0,8,real
pendentis,pendentis,rss,,pend,ent_if,pendentif,target,s,1.0,1,f,s,pendentis,2,9,real
ponlen,pollen,r,,pollen,,pollen,control,r,,2,l,n,ponlen,3,6,real
étranger,étrangur,rs,,étrang,er,étranger,target,s,0.0,0,e,u,étrangur,1,8,real
acteur,acteur,rs,,act,eur,acteur,target,r,,2,t,s,acseur,0,6,real
découverte,découserte,pr,dé,couverte,,découverte,target,r,,3,v,s,découserte,1,10,real
piquetige,piquetige,rss,,piqu,et_age,piquetage,target,s,1.0,0,a,i,piquetige,2,9,real
confréree,confrérie,prs,con,frér,ie,confrérie,target,s,0.0,0,i,e,confréree,3,9,real
solcan,solcan,r,,volcan,,volcan,control,r,,0,v,s,solcan,2,6,real
crocodile,crocudile,r,,crocodile,,crocodile,control,r,,4,o,u,crocudile,1,9,real
synagotue,synagotue,r,,synagogue,,synagogue,control,r,,6,g,t,synagotue,2,9,real
tintamarre,tintamarre,r,,tintamarre,,tintamarre,control,r,,0,t,s,sintamarre,0,10,real
prévoir,prévoir,pr,pré,voir,,prévoir,target,r,,1,o,i,préviir,0,7,real
diaphrafme,diaphragme,r,,diaphragme,,diaphragme,control,r,,7,g,f,diaphrafme,3,10,real
vivacité,vevacité,rss,,viv,ac_ité,vivacité,target,r,,1,i,e,vevacité,1,8,real
hibascus,hibascus,r,,hibiscus,,hibiscus,control,r,,3,i,a,hibascus,2,8,real
cramoisi,cremoisi,r,,cramoisi,,cramoisi,control,r,,2,a,e,cremoisi,1,8,real
primevèle,primevèle,r,,primevère,,primevère,control,r,,7,r,l,primevèle,2,9,real
